"No.","Compound","Species","Percentage","Ref."
"1.","4aα,7α,7aα-Nepetalactone","N. asterotricha","<5","(17)"
" "," ","N. binaloudensis","25","(19)"
" "," ","N. bornmuelleri","<5","(21)"
" "," ","N. cephalotes","90.1","(21)"
" "," "," ","35.1","(25)"
" "," ","N. crassifolia","72.8","(12)"
" "," "," ","5.9","(23)"
" "," "," ","92.6","(26)"
" "," ","N. crispa","10.3","(27)"
" "," ","N. eremophila","<5","(27)"
" "," ","N. heliotropifolia","<5","(10)"
" "," ","N. ispahanica","6.2","(11)"
" "," ","N. menthoides","23.2","(42)"
" "," ","N. meyeri","<5","(46)"
" "," ","N. mirzayanii","61.0","(21)"
" "," ","N. racemosa","64.9","(52)"
" "," "," ","24.4","(51)"
" "," ","N. rivularis","<5","(27)"
" "," ","N. mahanensis","37.6","(27)"
"2.","4aα,7α,7aβ-Nepetalactone","N. cataria","28.8","(23)"
" "," ","N. crassifolia","<5","(12)"
" "," ","N. crispa","20.3","(28)"
" "," ","N. heliotropifolia","16.3","(10)"
" "," ","N. meyeri","68.1","(46)"
" "," "," ","53.2","(47)"
" "," ","N. persica","26.5","(13)"
" "," "," ","28.3","(49)"
" "," ","N. racemosa","7.4","(52)"
" "," "," ","25.6","(51)"
" "," ","N. pogonosperma","57.6","(50)"
"3.","4aβ,7α,7aβ-Nepetalactone","N. asterotricha","14.8","(17)"
" "," "," ","18.2","(18)"
" "," ","N. bornmuelleri","64.0","(21)"
" "," ","N. sintenisii","23.4","(54)"
" "," ","N. crassifolia","<5","(12)"
" "," "," ","<5","(26)"
" "," ","N. crispa","9.2","(27)"
" "," ","N. eremophila","73.3","(27)"
" "," ","N. mirzayanii","<5","(21)"
" "," ","N. persica","62.3","(49)"
" "," ","N. racemosa","33.6","(51)"
" "," ","N. saccharata","6","(20)"
"4.","4aβ,7α,7aα-Nepetalactone","N. binaloudensis","<5","(19)"
" "," ","N. crassifolia","<5","(26)"
" "," ","N. crispa","<5","(27)"
" "," ","N. elymatica","35.6","(33)"
" "," ","N. ispahanica","<5","(27)"
" "," ","N. kotschyi","92.0","(41)"
" "," ","N. persica","26.5","(13)"
"5.","4aα,7β,7aα-Nepetalactone","N. cataria","11.9","(23)"
" "," ","N. crassifolia","81.1","(23)"
" "," ","N. betonicifolia","42.0","(20)"
"6.","4α-Dihydronepetalactone","N. crassifolia","<5","(12)"
" "," ","N. persica","26.5","(13)"
"7.","4β-Dihydronepetalactone","N. crassifolia","<5","(12)"
